accept,except
addition,edition
affect,effect
ashore,assure
banner,banter
batty,baddie
bidder,bitter
bobble,bauble
borough,burgh
breach,breech
caller,collar
callous,callus
cannon,canon
carve,calve
catty,caddie
century,sentry
chock,chalk
chute,shoot
click,clique
coating,coding
cookie,kooky
coral,choral
diffuse,defuse
gofer,gopher
gonna,gunner
hallow,hollow
hiccough,hiccup
holler,hauler
khaki,cocky
kiddy,kitty
knotty,naughty
ladder,latter
leader,liter
lichen,liken
loaner,loner
looney,loony
marry,merry
mucous,mucus
parish,perish
pauper,popper
pleural,plural
proceed,precede
rapper,wrapper
rider,writer
shudder,shutter
taper,tapir
tender,tinder
tremor,trimmer
waist,waste
whither,wither
